UTM X,UTM Y,CO2_value,Nombre de la zona,Lat,Lon
589948.0,2204938.25,11.4,Alcaparrosa,19.938792978959935,-98.14047610673173
589971.125,2204854.75,1.27,Alcaparrosa,19.93803742647487,-98.14025923059587
589967.8125,2204930.25,1.67,Alcaparrosa,19.938719777138903,-98.1402871898066
589974.0,2204849.5,4.41,Alcaparrosa,19.937989855962165,-98.14023201685995
589973.375,2204851.5,1.91,Alcaparrosa,19.938007956319307,-98.14023789090123
589953.3125,2204918.75,7.77,Alcaparrosa,19.93861653665968,-98.14042629919025
589970.4375,2204886.25,2.26,Alcaparrosa,19.93832208371631,-98.14026425941911
589961.9375,2204936.0,46.3,Alcaparrosa,19.9387720042167,-98.14034304417144
589960.25,2204938.75,296.0,Alcaparrosa,19.93879693049071,-98.14035903375076
589943.4375,2204851.25,0.367,Alcaparrosa,19.938007081443242,-98.14052395399462
589936.5,2204860.0,3.9,Alcaparrosa,19.93808646474244,-98.14058981369293
589964.375,2204929.5,8.0,Alcaparrosa,19.938713159283303,-98.14032007171285
589968.125,2204936.25,2.58,Alcaparrosa,19.938773977058244,-98.14028391050289
589966.3125,2204937.25,5190.0,Alcaparrosa,19.938783096592715,-98.14030118001138
589951.125,2204861.0,8.54,Alcaparrosa,19.9380948244424,-98.1404500238076
589949.5625,2204856.25,90.7,Alcaparrosa,19.93805197695911,-98.14046518559866
589955.125,2204856.5,15.1,Alcaparrosa,19.93805397874526,-98.14041202403459
589947.6875,2204855.0,18.0,Alcaparrosa,19.938040768972353,-98.14048316221047
589948.0,2204854.5,644.0,Alcaparrosa,19.938036236662015,-98.14048020073376
589949.1875,2204854.25,49.0,Alcaparrosa,19.93803392283566,-98.14046886646673
589950.75,2204853.0,1.34,Alcaparrosa,19.938022555943995,-98.14045399798268
589953.1875,2204842.5,701.0,Alcaparrosa,19.937927568105348,-98.14043122111943
589953.5,2204842.5,2150.0,Alcaparrosa,19.937927553658874,-98.14042823520364
