UTM X,UTM Y,CO2_value,Nombre de la zona,lat,lon
806143,2104604,684.3277303,Michoacan ,19.011245463801085,-96.09207001391187
793988,2103585,20.36791637,Michoacan ,19.003826595581486,-96.20757541904541
782151,2104867,224.2595085,Michoacan ,19.01706323827717,-96.31972973370571
767154,2104154,128.0220024,Michoacan ,19.012636305067343,-96.46218377559482
752925,2104641,161.0298428,Michoacan ,19.018839526781978,-96.59719769233791
813799,2117668,267.5622597,Michoacan ,19.127994507043148,-96.01731051726857
799225,2119128,440.024079,Michoacan ,19.143366856155502,-96.15548221908287
780630,2119736,39.12426483,Michoacan ,19.151505933061514,-96.33201639214663
768784,2118758,55.58729128,Michoacan ,19.144276561664668,-96.44468882713014
757095,2122595,87.70772027,Michoacan ,19.18043292677076,-96.55522770189212
808367,2135656,65.03027338,Michoacan ,19.291176505938616,-96.06601103276607
796133,2132789,204.9203948,Michoacan ,19.267130448650075,-96.18274877159608
781954,2133018,54.90980863,Michoacan ,19.271226423807807,-96.31749396566703
767952,2132839,66.003937,Michoacan ,19.27151658842801,-96.45063326608086
754166,2129070,62.98551652,Michoacan ,19.239267125591297,-96.58220683638822
813147,2149431,359.0389649,Michoacan ,19.414760410678145,-96.0183166095929
797625,2147432,2237.524888,Michoacan ,19.399082704145126,-96.16628681863486
786185,2149120,516.1794761,Michoacan ,19.415985459151155,-96.27486058967341
767110,2150163,180.0290404,Michoacan ,19.428036080217144,-96.45621391859753
752289,2148020,321.423653,Michoacan ,19.410608978097304,-96.59754919143039
812714,2166130,35.1031734,Michoacan ,19.565535252619622,-96.0196761015822
795557,2161150,159.5743573,Michoacan ,19.52321085896122,-96.18382000482177
781939,2164046,62.63958958,Michoacan ,19.551327860181125,-96.3130359551659
766551,2163755,312.986675,Michoacan ,19.550822976653265,-96.45961892801219
749926,2163848,436.0447311,Michoacan ,19.553821897587998,-96.61794681364354
812613,2179256,139.3369894,Michoacan ,19.68401038738847,-96.01845153886757
798162,2178771,20.58964039,Michoacan ,19.68186823452455,-96.15622567686131
782497,2178223,50.21497659,Michoacan ,19.67922503639958,-96.30558960212396
769787,2180297,21.45151865,Michoacan ,19.699726313968185,-96.42642281004944
750264,2179812,879.80487,Michoacan ,19.697921334678558,-96.6125980956129
806143,2104604,13.54867917,Michoacan ,19.011245463801085,-96.09207001391187
782151,2104867,82.62931612,Michoacan ,19.01706323827717,-96.31972973370571
767154,2104154,9.365124046,Michoacan ,19.012636305067343,-96.46218377559482
752925,2104641,21.22719767,Michoacan ,19.018839526781978,-96.59719769233791
813799,2117668,111.5575342,Michoacan ,19.127994507043148,-96.01731051726857
780630,2119736,118.010245,Michoacan ,19.151505933061514,-96.33201639214663
768784,2118758,181.0889255,Michoacan ,19.144276561664668,-96.44468882713014
757095,2122595,71.35456791,Michoacan ,19.18043292677076,-96.55522770189212
808367,2135656,165.0822154,Michoacan ,19.291176505938616,-96.06601103276607
796133,2132789,145.1423149,Michoacan ,19.267130448650075,-96.18274877159608
781954,2133018,10.09322263,Michoacan ,19.271226423807807,-96.31749396566703
767952,2132839,14.81709847,Michoacan ,19.27151658842801,-96.45063326608086
754166,2129070,89.12726648,Michoacan ,19.239267125591297,-96.58220683638822
813147,2149431,149.9391838,Michoacan ,19.414760410678145,-96.0183166095929
797625,2147432,29.12477239,Michoacan ,19.399082704145126,-96.16628681863486
786185,2149120,98.65096283,Michoacan ,19.415985459151155,-96.27486058967341
767110,2150163,171.0903225,Michoacan ,19.428036080217144,-96.45621391859753
752289,2148020,132.5301652,Michoacan ,19.410608978097304,-96.59754919143039
812714,2166130,82.05830272,Michoacan ,19.565535252619622,-96.0196761015822
795557,2161150,24.30456813,Michoacan ,19.52321085896122,-96.18382000482177
781939,2164046,107.5239257,Michoacan ,19.551327860181125,-96.3130359551659
812613,2179256,90.43230164,Michoacan ,19.68401038738847,-96.01845153886757
798162,2178771,103.904747,Michoacan ,19.68186823452455,-96.15622567686131
