UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
589539,2203190,3.9133692,Acoculco
589509,2203200,9.558972,Acoculco
589511,2203197,81.11043,Acoculco
589497,2203205,8.617158,Acoculco
589478,2203189,200.72961,Acoculco
589476,2203176,227.13561,Acoculco
589451,2203170,227.26764,Acoculco
589422,2203153,12.855321,Acoculco
589398,2203157,229.99626,Acoculco
589384,2203184,9.514962,Acoculco
589389,2203172,3.5304822,Acoculco
589341,2203186,6.825951,Acoculco
589278,2203160,3.9204108,Acoculco
589332,2203207,191.22345,Acoculco
589450,2203200,98.40636,Acoculco
589559,2203155,11.983923,Acoculco
589574,2203153,4154.544,Acoculco
589562,2203152,19.518435,Acoculco
589567,2203130,150.29415,Acoculco
589573,2203141,36.889182,Acoculco
589585,2203153,195.97653,Acoculco
589562,2203156,9198.09,Acoculco
589582,2203124,127.629,Acoculco
589582,2203133,314.40744,Acoculco
589590,2203128,150.69024,Acoculco
589586,2203125,10562.4,Acoculco
589592,2203119,4810.293,Acoculco
589588,2203113,91.18872,Acoculco
589589,2203113,1226.9988,Acoculco
589589,2203113,2535.8562,Acoculco
589590,2203106,212.48028,Acoculco
589600,2203102,96.91002,Acoculco
589614,2203080,172.78326,Acoculco
589606,2203059,178.10847,Acoculco
589562,2203061,9.41814,Acoculco
589553,2203103,85.02732,Acoculco
589531,2203104,209.53161,Acoculco
589434,2203065,191.26746,Acoculco
589490,2203087,5.096358,Acoculco
589502,2203195,8947.233,Acoculco
589514,2203185,2169.693,Acoculco
589514,2203186,61.52598,Acoculco
589948,2204938.25,11.4,Acoculco
589971.125,2204854.75,1.27,Acoculco
589967.8125,2204930.25,1.67,Acoculco
589974,2204849.5,4.41,Acoculco
589973.375,2204851.5,1.91,Acoculco
589953.3125,2204918.75,7.77,Acoculco
589970.4375,2204886.25,2.26,Acoculco
589961.9375,2204936,46.3,Acoculco
589960.25,2204938.75,296,Acoculco
589943.4375,2204851.25,0.367,Acoculco
589936.5,2204860,3.9,Acoculco
589964.375,2204929.5,8,Acoculco
589968.125,2204936.25,2.58,Acoculco
589966.3125,2204937.25,5190,Acoculco
589951.125,2204861,8.54,Acoculco
589949.5625,2204856.25,90.7,Acoculco
589955.125,2204856.5,15.1,Acoculco
589947.6875,2204855,18,Acoculco
589948,2204854.5,644,Acoculco
589949.1875,2204854.25,49,Acoculco
589950.75,2204853,1.34,Acoculco
589953.1875,2204842.5,701,Acoculco
589953.5,2204842.5,2150,Acoculco
591070.125,2208913.5,0.6333039,Acoculco
591073.3125,2208950.5,0.8115444,Acoculco
591050.375,2208891.25,2.6322381,Acoculco
591078.875,2208945.25,1.2049938,Acoculco
591069.125,2208913.5,0.026353188,Acoculco
591073.625,2208955.25,1.1992725,Acoculco
591045.6875,2208904.5,2.1727737,Acoculco
591075.5625,2208945.75,1.9104741,Acoculco
591055.6875,2208893.25,1.4461686,Acoculco
591053.25,2208905.75,0.3921291,Acoculco
591047.6875,2208948.5,676.8738,Acoculco
591075.4375,2208943.75,0.7692948,Acoculco
591041.5625,2208939.25,5.378022,Acoculco
591089.5625,2208968.75,5.664087,Acoculco
591049.625,2208940.5,1.315899,Acoculco
591052.375,2208907,1.7634807,Acoculco
591085.5625,2208969,1.6860231,Acoculco
591051.4375,2208935,0.13180995,Acoculco
591056.9375,2208917.75,0.24949269,Acoculco
591090,2208958.75,2.3004027,Acoculco
591060,2208936.25,0.23919435,Acoculco
591058.4375,2208933,1.0417167,Acoculco
591053.625,2208930.5,0.4559436,Acoculco
591067.3125,2208941.5,0.012899331,Acoculco
591069.875,2208942,2.7471042,Acoculco
591057.1875,2208947,4.0396779,Acoculco
