UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
589539,2203190,3.9133692,Los Azufres
589509,2203200,9.558972,Los Azufres
589511,2203197,81.11043,Los Azufres
589497,2203205,8.617158,Los Azufres
589478,2203189,200.72961,Los Azufres
589476,2203176,227.13561,Los Azufres
589451,2203170,227.26764,Los Azufres
589422,2203153,12.855321,Los Azufres
589398,2203157,229.99626,Los Azufres
589384,2203184,9.514962,Los Azufres
589389,2203172,3.5304822,Los Azufres
589341,2203186,6.825951,Los Azufres
589278,2203160,3.9204108,Los Azufres
589332,2203207,191.22345,Los Azufres
589450,2203200,98.40636,Los Azufres
589559,2203155,11.983923,Los Azufres
589574,2203153,4154.544,Los Azufres
589562,2203152,19.518435,Los Azufres
589567,2203130,150.29415,Los Azufres
589573,2203141,36.889182,Los Azufres
589585,2203153,195.97653,Los Azufres
589562,2203156,9198.09,Los Azufres
589582,2203124,127.629,Los Azufres
589582,2203133,314.40744,Los Azufres
589590,2203128,150.69024,Los Azufres
589586,2203125,10562.4,Los Azufres
589592,2203119,4810.293,Los Azufres
589588,2203113,91.18872,Los Azufres
589589,2203113,1226.9988,Los Azufres
589589,2203113,2535.8562,Los Azufres
589590,2203106,212.48028,Los Azufres
589600,2203102,96.91002,Los Azufres
589614,2203080,172.78326,Los Azufres
589606,2203059,178.10847,Los Azufres
589562,2203061,9.41814,Los Azufres
589553,2203103,85.02732,Los Azufres
589531,2203104,209.53161,Los Azufres
589434,2203065,191.26746,Los Azufres
589490,2203087,5.096358,Los Azufres
589502,2203195,8947.233,Los Azufres
589514,2203185,2169.693,Los Azufres
589514,2203186,61.52598,Los Azufres
