UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
520007.7813,2088350.5,13.45344,Chichinautzin
520588.375,2100080.5,12.95008,Chichinautzin
509837.7813,2089579.375,12.23068,Chichinautzin
510070.7813,2129567.75,15.4198,Chichinautzin
489431.3438,2100093.75,3.34796,Chichinautzin
482875.625,2129073.75,25.4474,Chichinautzin
492709.4688,2090182.625,29.5174,Chichinautzin
499718.5313,2091359.125,21.95512,Chichinautzin
510069.0938,2129569.75,13.25544,Chichinautzin
518358.0625,2130079.75,3.30484,Chichinautzin
521795.5938,2121038.5,3.62736,Chichinautzin
510221.375,2098692.25,8.31248,Chichinautzin
500356.0313,2102584.75,12.56684,Chichinautzin
506252,2111260.5,2.07724,Chichinautzin
477373.9375,2098565.25,14.15788,Chichinautzin
475997.2188,2110192.75,5.77852,Chichinautzin
475997.2188,2110192.75,5.77852,Chichinautzin
477677.75,2103233.75,3.0558,Chichinautzin
523016.2813,2109889.75,4.917,Chichinautzin
514037.5625,2120228.75,19.39256,Chichinautzin
507552.7188,2110930,0.59884,Chichinautzin
500948.75,2118745,13.541,Chichinautzin
466902.3125,2120513,1.496,Chichinautzin
460886.9375,2120055.25,1.68476,Chichinautzin
460939.4063,2129856.5,0.84128,Chichinautzin
450180.4375,2129611.5,3.34356,Chichinautzin
439853.4375,2132511.25,0.71104,Chichinautzin
439418.2188,2119656.5,1.48456,Chichinautzin
450200.2813,2121109.75,2.1692,Chichinautzin
472188.7188,2101083.25,1.05908,Chichinautzin
466049.1875,2108596.75,4.70844,Chichinautzin
461782.1563,2109195.5,3.97408,Chichinautzin
460324.5938,2101124.5,14.08528,Chichinautzin
450377.125,2089601.125,31.669,Chichinautzin
449817.9375,2100260.75,28.5538,Chichinautzin
439459.875,2100895,1.21704,Chichinautzin
453663.5313,2110433,0.23672,Chichinautzin
437868.125,2109975.75,4.6486,Chichinautzin
458409.4375,2087103.875,21.37256,Chichinautzin
481021.7813,2091087.875,3.10904,Chichinautzin
467658.625,2093880.5,29.36912,Chichinautzin
463197.75,2121629.5,0.17116,Chichinautzin
468821.75,2130089,3.047,Chichinautzin
491808.4688,2110257.5,2.4794,Chichinautzin
492658.125,2119431.5,4.83516,Chichinautzin
505586.0313,2125470.25,20.9528,Chichinautzin
505645,2125431.25,24.34432,Chichinautzin
487830.6875,2128795.25,22.68024,Chichinautzin
457400.125,2118758.5,4.5628,Chichinautzin
457679.7813,2110377,1.5906,Chichinautzin
471039.8125,2131970.25,14.90676,Chichinautzin
469951,2103859.5,3.97276,Chichinautzin
475551.3438,2101969.5,12.9932,Chichinautzin
475551.6875,2101972,4.73484,Chichinautzin
474860.5313,2107609.5,2.37028,Chichinautzin
479701.2188,2112762,0.4114,Chichinautzin
487831.2188,2128799.25,4.63056,Chichinautzin
489085.9688,2122792,5.00896,Chichinautzin
487534.4688,2114797.75,3.44476,Chichinautzin
496387.4063,2105763,22.08448,Chichinautzin
496389.9375,2105765.25,8.24516,Chichinautzin
471039.8125,2131970.25,14.90676,Chichinautzin
475947.2188,2126372.25,1.47356,Chichinautzin
496388.6875,2105775,15.94384,Chichinautzin
506690.375,2106458.25,1.43132,Chichinautzin
504885.875,2116116.75,6.97796,Chichinautzin
496336.7813,2121444.75,3.71272,Chichinautzin
483060.5938,2103771.5,36.69204,Chichinautzin
483395.4063,2103722,23.617,Chichinautzin
483626.875,2103673.25,20.12912,Chichinautzin
483984.9688,2103543,27.26812,Chichinautzin
484499.4688,2103429,24.06668,Chichinautzin
485187.8125,2103683.75,24.14808,Chichinautzin
470764.25,2124850.25,0.76516,Chichinautzin
485826.9063,2103525.75,25.13544,Chichinautzin
486556.7813,2103204.25,13.76936,Chichinautzin
487946.7813,2103083.25,18.58472,Chichinautzin
487946.7813,2103083.25,18.58472,Chichinautzin
489069.2188,2103062.25,15.29968,Chichinautzin
491842.0625,2095263.25,59.8708,Chichinautzin
491854.2813,2095268.25,101.20264,Chichinautzin
491840.0625,2095264.5,62.63356,Chichinautzin
465812.875,2099076,1.56508,Chichinautzin
519339.1875,2126041,13.18592,Chichinautzin
523212.8438,2115358.75,8.50696,Chichinautzin
524729.25,2108312.5,2.1186,Chichinautzin
520129.3125,2104867.5,32.00032,Chichinautzin
520125.8438,2104861.25,6.83496,Chichinautzin
520125.9688,2104862.25,22.858,Chichinautzin
520126.5938,2104862,22.84964,Chichinautzin
520127.75,2104862.5,23.68432,Chichinautzin
520127.625,2104877.25,10.94764,Chichinautzin
512634.9375,2113298,25.29516,Chichinautzin
512667.5625,2113283.25,7.24812,Chichinautzin
510614.4063,2125550,14.85308,Chichinautzin
464390.2813,2108490.25,6.98852,Chichinautzin
482998.5313,2118721,0.67012,Chichinautzin
466492.75,2106279,4.16108,Chichinautzin
