UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
286808.83,2168529.91,675.84,Escalera 
286811.4688,2168531,577.28,Escalera 
286805.36,2168526.59,125.532,Escalera 
286807.0938,2168533.5,1636.8,Escalera 
286807.32,2168526.3,20.218,Escalera 
286811.28,2168523.9,25.256,Escalera 
286810.48,2168521.57,5.3108,Escalera 
286809.69,2168519.31,14.0404,Escalera 
286812.8125,2168520.5,27.5,Escalera 
286813.18,2168524.44,29.854,Escalera 
286809.6875,2168524.25,13.2132,Escalera 
286816.13,2168527.39,21.912,Escalera 
286817.35,2168530.03,10.7184,Escalera 
286818.3,2168533.39,16825.6,Escalera 
286814.7,2168535.78,19.9628,Escalera 
286817.94,2168536.17,435.028,Escalera 
286815.32,2168538.31,527.56,Escalera 
286812.64,2168528.36,1029.16,Escalera 
286813.27,2168530.43,1145.32,Escalera 
286810.34,2168531.74,1318.24,Escalera 
286804.34,2168531.7,170.104,Escalera 
286811.79,2168537.3,5.7288,Escalera 
286811.98,2168539.5,410.432,Escalera 
286812.66,2168538.7,155.408,Escalera 
286813.79,2168537.79,670.56,Escalera 
286813.49,2168540.45,199.188,Escalera 
286815.86,2168540.09,28.7848,Escalera 
286814.71,2168543.65,11.154,Escalera 
286817.48,2168542.64,77.44,Escalera 
286817.4375,2168540.25,4.554,Escalera 
286825.41,2168538.89,7.2556,Escalera 
286818.875,2168537.25,13.0108,Escalera 
286818.75,2168543.75,5.7288,Escalera 
286813.9375,2168553.25,1.3442,Escalera 
286812.6875,2168545.5,4.3692,Escalera 
286805.99,2168542.68,17.3756,Escalera 
286804.5938,2168535.75,2.1956,Escalera 
286839.25,2168555.5,19.3336,Escalera 
286837.375,2168557,18.0004,Escalera 
286835.4063,2168559.75,31.8076,Escalera 
286839.8438,2168562,11.0044,Escalera 
286834.7188,2168555,2.27392,Escalera 
286820.7813,2168556.5,2.04072,Escalera 
286791.5625,2168516,29.414,Escalera 
286798.8438,2168510.5,276.232,Escalera 
286801.2813,2168521.5,373.956,Escalera 
286800.5625,2168514.75,74.008,Escalera 
286796.625,2168510.75,67.716,Escalera 
