UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
239589.5248,2223028.852,0.05901741,Puruandiro
239631.9736,2223005.289,3.25674,Puruandiro
239499.9074,2223054.227,1.5438708,Puruandiro
239522.8368,2223019.99,0.6099786,Puruandiro
239581.0569,2223001.397,3.7109232,Puruandiro
239457.46,2223056.855,1.8228942,Puruandiro
239457.46,2223056.855,0.29865186,Puruandiro
239479.1026,2223174.608,1.3022559,Puruandiro
239703.1915,2223485.726,2.4302322,Puruandiro
239703.1915,2223485.726,0.26199153,Puruandiro
239703.1915,2223485.726,0.5100759,Puruandiro
239675.4823,2223452.135,4.3847163,Puruandiro
239713.296,2223363.511,1.2195171,Puruandiro
239720.7427,2223357.64,38.724399,Puruandiro
239720.7427,2223357.64,66.85119,Puruandiro
239699.2584,2223390.526,9.827433,Puruandiro
239718.5131,2223425.573,15.720372,Puruandiro
239713.0794,2223426.097,23.290092,Puruandiro
239726.6834,2223454.139,5.452839,Puruandiro
239748.9326,2223430.436,10.047483,Puruandiro
239798.8032,2223413.409,2.6731674,Puruandiro
239815.5471,2223420.469,7.838181,Puruandiro
239810.4997,2223453.885,6.460668,Puruandiro
239799.5414,2223497.912,2.2858794,Puruandiro
239800.4027,2223555.608,2.7149769,Puruandiro
239767.2512,2223507.92,3.2131701,Puruandiro
239751.7986,2223461.186,0.39102885,Puruandiro
239760.3047,2223407.116,0.6267024,Puruandiro
239760.4664,2223396.923,82.91484,Puruandiro
239758.7133,2223363.608,0.5774112,Puruandiro
239768.3799,2223366.233,8.075835,Puruandiro
239768.3799,2223366.233,21.578103,Puruandiro
239786.0269,2223377.711,6.676317,Puruandiro
239843.7164,2223309.615,18.413784,Puruandiro
239833.2801,2223318.521,0.5294403,Puruandiro
239822.0428,2223336.855,0.5703696,Puruandiro
239809.9697,2223362.289,6.29343,Puruandiro
239784.5044,2223373.857,7.750161,Puruandiro
239768.7804,2223386.054,3.9855456,Puruandiro
239752.5474,2223413.213,0.019448019,Puruandiro
239107.9729,2223345.865,10.971693,Puruandiro
239069.699,2223361.613,10.888074,Puruandiro
239106.2314,2223383.331,1.7771238,Puruandiro
239053.1824,2223411.706,1.8162927,Puruandiro
239075.1638,2223440.065,2.5266141,Puruandiro
239046.067,2223453.682,7.195635,Puruandiro
239036.2456,2223398.778,1.2617667,Puruandiro
239039.5725,2223376.353,0.42218793,Puruandiro
239035.0321,2223380.63,3.8984058,Puruandiro
239032.1179,2223367.714,1.5680763,Puruandiro
239040.4403,2223336.464,0.4317381,Puruandiro
239028.212,2223302.531,1.227879,Puruandiro
239027.3435,2223300.44,26.00991,Puruandiro
239031.491,2223269.917,2.3285691,Puruandiro
239030.7623,2223256.192,1.0729638,Puruandiro
239048.7278,2223246.951,7.948206,Puruandiro
239095.9427,2223241.26,4.0365972,Puruandiro
239113.3441,2223271.239,2.1824559,Puruandiro
239148.1833,2223221.759,18.070506,Puruandiro
239104.2664,2223231.056,1.6798617,Puruandiro
239172.5932,2223237.566,0.9391734,Puruandiro
239166.9968,2223234.216,6.227415,Puruandiro
239201.0375,2223229.276,2.2651947,Puruandiro
239188.6033,2223202.545,1.6825023,Puruandiro
239222.5083,2223188.525,4.3503885,Puruandiro
239235.4791,2223209.155,4.643055,Puruandiro
239245.4669,2223240.241,2.6643654,Puruandiro
239310.7394,2223210.466,1.3383441,Puruandiro
239212.1424,2223279.065,2.002455,Puruandiro
239158.0658,2223280.76,2.5415775,Puruandiro
238957.9563,2223265.036,4.2614883,Puruandiro
238925.3921,2223347.602,6.231816,Puruandiro
238931.5745,2223362.131,233.07696,Puruandiro
239136.4581,2223144.508,0.9933057,Puruandiro
239133.1433,2223146.773,175.64391,Puruandiro
239099.4477,2223153.813,1.954044,Puruandiro
239080.432,2223127.846,634.6242,Puruandiro
239077.737,2223115.591,9.149679,Puruandiro
239061.5498,2223131.784,4.0515606,Puruandiro
239044.3392,2223163.499,8.172657,Puruandiro
239010.481,2223166.664,3.4261785,Puruandiro
238977.4201,2223167.159,1.940841,Puruandiro
238943.951,2223147.39,3.820068,Puruandiro
238970.0616,2223095.05,2.8663713,Puruandiro
239001.8422,2223099.891,3.5573283,Puruandiro
239021.262,2223047.983,15.346287,Puruandiro
238978.9485,2223073.538,1.7978085,Puruandiro
238902.7608,2223150.112,0.22933611,Puruandiro
238863.2877,2223162.666,2.0138976,Puruandiro
238876.4863,2223191.489,1.500741,Puruandiro
238813.4819,2223163.079,1.4571711,Puruandiro
238863.096,2223107.95,1.2833316,Puruandiro
238630.9789,2223079.416,26.111133,Puruandiro
238698.7379,2223194.595,14.325255,Puruandiro
238782.6621,2223222.358,5.417631,Puruandiro
238838.5305,2223242.456,12.089547,Puruandiro
238659.1172,2223190.315,2.8012365,Puruandiro
238603.6719,2223135.652,5.171175,Puruandiro
238531.6393,2223175.169,6.152598,Puruandiro
238574.8306,2223131.433,26.749278,Puruandiro
238575.9914,2223132.08,12.710088,Puruandiro
238556.9764,2223057.376,11.873898,Puruandiro
238648.7998,2223095.432,8.22987,Puruandiro
238677.1832,2223041.174,25.345359,Puruandiro
238706.5878,2223013.152,10.615212,Puruandiro
238754.0319,2223064.612,51.84378,Puruandiro
238763.0608,2223094.495,2.6828496,Puruandiro
238764.6364,2223129.806,3.4147359,Puruandiro
