UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
589948,2204938.25,11.4,Alcaparrosa
589971.125,2204854.75,1.27,Alcaparrosa
589967.8125,2204930.25,1.67,Alcaparrosa
589974,2204849.5,4.41,Alcaparrosa
589973.375,2204851.5,1.91,Alcaparrosa
589953.3125,2204918.75,7.77,Alcaparrosa
589970.4375,2204886.25,2.26,Alcaparrosa
589961.9375,2204936,46.3,Alcaparrosa
589960.25,2204938.75,296,Alcaparrosa
589943.4375,2204851.25,0.367,Alcaparrosa
589936.5,2204860,3.9,Alcaparrosa
589964.375,2204929.5,8,Alcaparrosa
589968.125,2204936.25,2.58,Alcaparrosa
589966.3125,2204937.25,5190,Alcaparrosa
589951.125,2204861,8.54,Alcaparrosa
589949.5625,2204856.25,90.7,Alcaparrosa
589955.125,2204856.5,15.1,Alcaparrosa
589947.6875,2204855,18,Alcaparrosa
589948,2204854.5,644,Alcaparrosa
589949.1875,2204854.25,49,Alcaparrosa
589950.75,2204853,1.34,Alcaparrosa
589953.1875,2204842.5,701,Alcaparrosa
589953.5,2204842.5,2150,Alcaparrosa
